individuell	JJ	JJ|POS|UTR|SIN|IND|NOM	ADJ
beskattning	NN	NN|UTR|SIN|IND|NOM	NOUN
av	PP	PP	ADP
arbetsinkomst	NN	NN|UTR|PLU|IND|NOM	NOUN

genom	PP	PP	ADP
skattereform	NN	NN|UTR|SIN|DEF|NOM	NOUN
införa	VB	VB|PRS|SFO	VERB
individuell	JJ	JJ|POS|UTR|SIN|IND|NOM	ADJ
beskattning	NN	NN|UTR|SIN|IND|NOM	NOUN
(	PAD	PAD	PUNCT
särbeskattning	NN	NN|UTR|SIN|IND|NOM	NOUN
)	PAD	PAD	PUNCT
av	PP	PP	ADP
arbetsinkomst	NN	NN|UTR|PLU|IND|NOM	NOUN
.	MAD	MAD	PUNCT

den	PN	PN|NEU|SIN|DEF|SUB/OBJ	PRON
innebära	VB	VB|PRS|AKT	VERB
bl.a.	AB	AB|AN	ADV
att	SN	SN	SCONJ
endast	AB	AB	ADV
en	RG	RG|UTR|SIN|IND|NOM	NUM
skatteskala	NN	NN|UTR|SIN|IND|NOM	NOUN
komma	VB	VB|PRS|AKT	AUX
att	IE	IE	PART
finnas	VB	VB|INF|SFO	VERB
för	PP	PP	ADP
beräkning	NN	NN|UTR|SIN|IND|NOM	NOUN
av	PP	PP	ADP
statlig	JJ	JJ|POS|UTR|SIN|IND|NOM	ADJ
inkomstskatt	NN	NN|UTR|SIN|IND|NOM	NOUN
.	MAD	MAD	PUNCT

den	PN	PN|UTR|SIN|DEF|SUB/OBJ	PRON
bli	VB	VB|PRS|AKT	VERB
gemensam	JJ	JJ|POS|UTR|SIN|IND|NOM	ADJ
för	PP	PP	ADP
all	DT	DT|UTR/NEU|PLU|IND/DEF	DET
inkomsttagare	NN	NN|UTR|PLU|IND|NOM	NOUN
oavsett	PP	PP	ADP
civilstånd	NN	NN|NEU|SIN|IND|NOM	NOUN
.	MAD	MAD	PUNCT

den	PN	PN|UTR|SIN|DEF|SUB/OBJ	PRON
gälla	VB	VB|PRS|AKT	VERB
även	AB	AB	ADV
för	PP	PP	ADP
oskift	JJ	JJ|POS|UTR/NEU|PLU|IND/DEF|NOM	ADJ
dödsbo	NN	NN|NEU|PLU|IND|NOM	NOUN
och	KN	KN	CCONJ
familjestiftelse	NN	NN|UTR|PLU|IND|NOM	NOUN
.	MAD	MAD	PUNCT

en	DT	DT|UTR/NEU|PLU|DEF	DET
inkomst	NN	NN|UTR|PLU|IND|NOM	NOUN
som	HP	HP|-|-|-	PRON
på	PP	PP	ADP
denna	DT	DT|NEU|SIN|DEF	DET
sätt	NN	NN|NEU|SIN|IND|NOM	NOUN
beskatta	VB	VB|PRS|SFO	VERB
individuell	AB	AB|POS	ADV
kalla	VB	VB|PRS|SFO	VERB
A-inkomst	NN	NN|UTR|PLU|IND|NOM	NOUN
.	MAD	MAD	PUNCT

denna	DT	DT|UTR/NEU|PLU|DEF	DET
inkomst	NN	NN|UTR|PLU|IND|NOM	NOUN
vara	VB	VB|PRS|AKT	AUX
*	MID	MID	PUNCT
inkomst	NN	NN|UTR|SIN|IND|NOM	NOUN
av	PP	PP	ADP
tjänst	NN	NN|UTR|SIN|IND|NOM	NOUN
-	MID	MID	PUNCT
lön	NN	NN|UTR|SIN|IND|NOM	NOUN
,	MID	MID	PUNCT
pension	NN	NN|UTR|SIN|IND|NOM	NOUN
,	MID	MID	PUNCT
livränta	NN	NN|UTR|SIN|IND|NOM	NOUN
,	MID	MID	PUNCT
undantagsförmån	NN	NN|UTR|PLU|IND|NOM	NOUN
och	KN	KN	CCONJ
övrig	JJ	JJ|POS|UTR|SIN|IND|NOM	ADJ
tjänsteinkomst	NN	NN|UTR|SIN|IND|NOM	NOUN
.	MAD	MAD	PUNCT
(	PAD	PAD	PUNCT
undantag	NN	NN|NEU|PLU|IND|NOM	NOUN
:	MID	MID	PUNCT
periodisk	JJ	JJ|POS|NEU|SIN|IND|NOM	ADJ
